"","author","year","region","species","family","genus","environment","climate","red.list","feeding.type","feeding.habit","TL","min.size","float.meth","dig.meth","count.meth","polymer.meth","polymer.ID","blanks","maj.fib","maj.under.one.mm","maj.polymer","maj.col","exclude.fib","fork.lengthprod","total.lengthprod","Wprod","GWprod","N","IRprod","Mpsgutprod","SDMPsgutprod","fork.length","total.length","W","GW","IR","Mpsgut","SDMPsgut","study"
"292","Murphy et al.","2017","Atlantic, Northeast","Trachurus trachurus","Carangidae","Trachurus","Pelagic-neritic","Subtropical","Vulnerable","mainly animals","hunting macrofauna",3.7,500,"None","None","Visual","FTIR","yes","no","yes","yes","Polyamide","Black","no",NA,NA,NA,NA,5,0,0,0,NA,NA,NA,NA,0,0,0,"Murphy et al.2017"
"293","Nelms et al.","2018","Atlantic, Northeast","Scomber scombrus","Scombridae","Scomber","Pelagic-neritic","Temperate","Least Concern","mainly animals","variable",3.6,500,"None","None","Visual","FTIR","yes","yes","yes","no","Ethylene propylene/Polyethylene","Red/Blue","no",713,NA,4030,NA,31,9.92,17.98,32.55,23,NA,130,NA,0.32,0.58,1.05,"Nelms et al.2018"
"294","Neves et al.","2015","Atlantic, Northeast","Alosa fallax","Clupeidae","Alosa","Pelagic-neritic","Temperate","Least Concern","mainly animals","hunting macrofauna",4,500,"None","None","Visual","FTIR","yes","no","yes","no","","","no",NA,40,564,NA,1,1,1,0,NA,40,564,NA,1,1,0,"Neves et al.2015"
"295","Neves et al.","2015","Atlantic, Northeast","Argyrosomus regius","Sciaenidae","Argyrosomus","Benthopelagic","Subtropical","Least Concern","mainly animals","hunting macrofauna",4.3,500,"None","None","Visual","FTIR","yes","no","yes","no","","","no",NA,NA,NA,NA,5,3,4,4,NA,NA,NA,NA,0.6,0.8,0.8,"Neves et al.2015"
"296","Neves et al.","2015","Atlantic, Northeast","Boops boops","Sparidae","Boops","Demersal","Subtropical","Least Concern","mainly animals","selective plankton feeding",2.8,500,"None","None","Visual","FTIR","yes","no","yes","no","","","no",NA,768,5120,NA,32,2.88,2.88,9.6,NA,24,160,NA,0.09,0.09,0.3,"Neves et al.2015"
"297","Neves et al.","2015","Mediterranean and Black Sea","Brama brama","Bramidae","Brama","Pelagic-neritic","Subtropical","Least Concern","mainly animals","hunting macrofauna",4.1,500,"None","None","Visual","FTIR","yes","no","yes","no","","","no",NA,NA,NA,NA,3,0.99,2.01,3.6,NA,NA,NA,NA,0.33,0.67,1.2,"Neves et al.2015"
"298","Neves et al.","2015","Atlantic, Northeast","Dentex macrophthalmus","Sparidae","Dentex","Benthopelagic","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.5,500,"None","None","Visual","FTIR","yes","no","yes","no","","","no",NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,1,NA,"Neves et al.2015"
"299","Neves et al.","2015","Atlantic, Northeast","Helicolenus dactylopterus","Sebastidae","Helicolenus","Bathydemersal","Deep-water","Least Concern","mainly animals","hunting macrofauna",3.5,500,"None","None","Visual","FTIR","yes","no","yes","no","","","no",NA,17,81,NA,1,0,NA,NA,NA,17,81,NA,0,NA,NA,"Neves et al.2015"
"300","Neves et al.","2015","Atlantic, Northeast","Lepidorhombus boscii","Scophthalmidae","Lepidorhombus","Demersal","Temperate","Not Evaluated","mainly animals","hunting macrofauna",3.5,500,"None","None","Visual","FTIR","yes","no","yes","no","","","no",NA,46,176,NA,2,1,NA,NA,NA,23,88,NA,0.5,NA,NA,"Neves et al.2015"
"301","Neves et al.","2015","Atlantic, Northeast","Lepidorhombus whiffiagonis","Scophthalmidae","Lepidorhombus","Bathydemersal","Deep-water","Not Evaluated","mainly animals","hunting macrofauna",4.3,500,"None","None","Visual","FTIR","yes","no","yes","no","","","no",NA,44,140,NA,2,0,NA,NA,NA,22,70,NA,0,NA,NA,"Neves et al.2015"
"302","Neves et al.","2015","Atlantic, Northeast","Lophius piscatorius","Lophiidae","Lophius","Bathydemersal","Deep-water","Least Concern","mainly animals","hunting macrofauna",4.5,500,"None","None","Visual","FTIR","yes","no","yes","no","","","no",NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,0.5,0.5,NA,"Neves et al.2015"
"303","Neves et al.","2015","Atlantic, Northeast","Merluccius merluccius","Merlucciidae ","Merluccius","Demersal","Temperate","Least Concern","mainly animals","hunting macrofauna",4.4,500,"None","None","Visual","FTIR","yes","no","yes","no","","","no",NA,NA,NA,NA,12,3.03,4.03,7.88,NA,NA,NA,NA,0.2525,0.335833333333333,0.656666666666667,"Neves et al.2015"
"304","Neves et al.","2015","Atlantic, Northeast","Mullus surmuletus","Mullidae","Mullus","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.5,500,"None","None","Visual","FTIR","yes","no","yes","no","","","no",NA,NA,NA,NA,4,4,6.98,NA,NA,NA,NA,NA,1,1.745,NA,"Neves et al.2015"
"305","Neves et al.","2015","Atlantic, Northeast","Pagellus acarne","Sparidae","Pagellus","Benthopelagic","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.8,500,"None","None","Visual","FTIR","yes","no","yes","no","","","no",NA,25,202,NA,1,1,1,0,NA,25,202,NA,1,1,0,"Neves et al.2015"
"306","Neves et al.","2015","Atlantic, Northeast","Polyprion americanus","Polypronidae","Polyprion","Demersal","Deep-water","Data deficient","mainly animals","hunting macrofauna",4.1,500,"None","None","Visual","FTIR","yes","no","yes","no","","","no",NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"Neves et al.2015"
"307","Neves et al.","2015","Atlantic, Northeast","Raja asterias","Rajidae","Raja","Demersal","Subtropical","Near Threatened","mainly animals","hunting macrofauna",3.5,500,"None","None","Visual","FTIR","yes","no","yes","no","","","no",NA,NA,NA,NA,7,3.01,3.99,5.53,NA,NA,NA,NA,0.43,0.57,0.79,"Neves et al.2015"
"308","Neves et al.","2015","Atlantic, Northeast","Sardina pilchardus","Clupeidae","Sardina","Pelagic-neritic","Subtropical","Least Concern","plants/detritus+animals","selective plankton feeding",3.1,500,"None","None","Visual","FTIR","yes","no","yes","no","","","no",NA,216,924,NA,12,0,NA,NA,NA,18,77,NA,0,NA,NA,"Neves et al.2015"
"309","Neves et al.","2015","Atlantic, Northeast","Scomber japonicus","Scombridae","Scomber","Pelagic-neritic","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.4,500,"None","None","Visual","FTIR","yes","no","yes","no","","","no",NA,980,7980,NA,35,10.85,19.95,36.4,NA,28,228,NA,0.31,0.57,1.04,"Neves et al.2015"
"310","Neves et al.","2015","Atlantic, Northeast","Scomber scombrus","Scombridae","Scomber","Pelagic-neritic","Temperate","Least Concern","mainly animals","variable",3.6,500,"None","None","Visual","FTIR","yes","no","yes","no","","","no",NA,377,2470,NA,13,4.03,5.98,10.14,NA,29,190,NA,0.31,0.46,0.78,"Neves et al.2015"
"311","Neves et al.","2015","Atlantic, Northeast","Scyliorhinus canicula","Scyliorhinidae","Scyliorhinus","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.8,500,"None","None","Visual","FTIR","yes","no","yes","no","","","no",NA,NA,NA,NA,20,4.05,4.05,7.35,NA,NA,NA,NA,0.2025,0.2025,0.3675,"Neves et al.2015"
"312","Neves et al.","2015","Atlantic, Northeast","Solea solea","Soleidae","Solea","Demersal","Subtropical","Data deficient","mainly animals","hunting macrofauna",3.2,500,"None","None","Visual","FTIR","yes","no","yes","no","","","no",NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"Neves et al.2015"
"313","Neves et al.","2015","Atlantic, Northeast","Torpedo torpedo","Torpedinidae","Torpedo","Demersal","Deep-water","Data deficient","mainly animals","hunting macrofauna",4.5,500,"None","None","Visual","FTIR","yes","no","yes","no","","","no",NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"Neves et al.2015"
"314","Neves et al.","2015","Atlantic, Northeast","Trachurus picturatus","Carangidae","Trachurus","Benthopelagic","Subtropical","Least Concern","mainly animals","variable",3.3,500,"None","None","Visual","FTIR","yes","no","yes","no","","","no",NA,812,6902,NA,29,0.87,0.87,5.22,NA,28,238,NA,0.03,0.03,0.18,"Neves et al.2015"
"315","Neves et al.","2015","Atlantic, Northeast","Trachurus trachurus","Carangidae","Trachurus","Pelagic-neritic","Subtropical","Vulnerable","mainly animals","hunting macrofauna",3.7,500,"None","None","Visual","FTIR","yes","no","yes","no","","","no",NA,1100,6732,NA,44,3.08,3.08,11,NA,25,153,NA,0.07,0.07,0.25,"Neves et al.2015"
"316","Neves et al.","2015","Atlantic, Northeast","Trichiurus lepturus","Trichiuridae","Trichiurus","Benthopelagic","Subtropical","Least Concern","mainly animals","hunting macrofauna",4.4,500,"None","None","Visual","FTIR","yes","no","yes","no","","","no",NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"Neves et al.2015"
"317","Neves et al.","2015","Atlantic, Northeast","Trigla lyra","Triglidae ","Trigla","Bathydemersal","Deep-water","Least Concern","mainly animals","hunting macrofauna",3.7,500,"None","None","Visual","FTIR","yes","no","yes","no","","","no",NA,775,5084,NA,31,5.89,8.06,17.67,NA,25,164,NA,0.19,0.26,0.57,"Neves et al.2015"
"318","Neves et al.","2015","Atlantic, Northeast","Trisopterus luscus","Gadidae","Trisopterus","Benthopelagic","Temperate","Not Evaluated","mainly animals","hunting macrofauna",3.7,500,"None","None","Visual","FTIR","yes","no","yes","no","","","no",NA,27,221,NA,1,0,NA,NA,NA,27,221,NA,0,NA,NA,"Neves et al.2015"
"319","Neves et al.","2015","Atlantic, Northeast","Zeus faber","Zeidae ","Zeus ","Benthopelagic","Temperate","Data deficient","mainly animals","hunting macrofauna",4.5,500,"None","None","Visual","FTIR","yes","no","yes","no","","","no",NA,31,327,NA,1,1,1,0,NA,31,327,NA,1,1,0,"Neves et al.2015"
"320","Ory et al.","2017","Pacific, Southeast","Decapterus muroadsi","Carangidae","Decapterus","Pelagic-oceanic","Tropical","Least Concern","mainly animals","selective plankton feeding",3.4,500,"None","None","Visual","FTIR","yes","yes","","no","Polyethylene","Blue","yes",NA,280,NA,NA,20,16,62,8,NA,14,NA,NA,0.8,3.1,0.4,"Ory et al.2017"
"321","Pegado et al.","2018","Atlantic, Southwest","Anisotremus surinamensis ","Haemulidae","Anisotremus","Reef-associated","Subtropical","Data deficient","mainly animals","hunting macrofauna",3.6,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,0,0,NA,"Pegado et al.2018"
"322","Pegado et al.","2018","Atlantic, Southwest","Anisotremus virginicus ","Haemulidae","Anisotremus","Reef-associated","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.6,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,0,0,NA,"Pegado et al.2018"
"323","Pegado et al.","2018","Atlantic, Southwest","Bagre bagre ","Ariidae","Bagre","Demersal","Tropical","Least Concern","mainly animals","hunting macrofauna",4,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,172.9,3908.1,NA,7,4.998,89.6,NA,NA,24.7,558.3,NA,0.714,12.8,NA,"Pegado et al.2018"
"324","Pegado et al.","2018","Atlantic, Southwest","Bagre marinus","Ariidae","Bagre","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.5,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,4,4,31.2,NA,NA,NA,NA,NA,1,7.8,NA,"Pegado et al.2018"
"325","Pegado et al.","2018","Atlantic, Southwest","Bairdiella ronchus ","Sciaenidae","Bairdiella","Demersal","Tropical","Least Concern","mainly animals","variable",3.5,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,4,0,0,NA,NA,NA,NA,NA,0,0,NA,"Pegado et al.2018"
"326","Pegado et al.","2018","Atlantic, Southwest","Batrachoides surinamensis ","Batrachoididae","Batrachoides","Demersal","Tropical","Least Concern","mainly animals","hunting macrofauna",3.7,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,0,0,NA,"Pegado et al.2018"
"327","Pegado et al.","2018","Atlantic, Southwest","Caranx crysos ","Carangidae","Caranx","Reef-associated","Subtropical","Least Concern","mainly animals","hunting macrofauna",4.1,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,3,0,0,NA,NA,NA,NA,NA,0,0,NA,"Pegado et al.2018"
"328","Pegado et al.","2018","Atlantic, Southwest","Caranx hippos","Carangidae","Caranx","Reef-associated","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.6,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,3,3,92.1,NA,NA,NA,NA,NA,1,30.7,NA,"Pegado et al.2018"
"329","Pegado et al.","2018","Atlantic, Southwest","Chaetodipterus faber ","Ephippidae","Chaetodipterus","Reef-associated","Subtropical","Least Concern","mainly animals","hunting macrofauna",4.5,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,5,0,0,NA,NA,NA,NA,NA,0,0,NA,"Pegado et al.2018"
"330","Pegado et al.","2018","Atlantic, Southwest","Colomesus psittacus ","Tetraodontidae","Colomesus","Demersal","Tropical","Least Concern","mainly animals","hunting macrofauna",3.6,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,2,0,0,NA,NA,NA,NA,NA,0,0,NA,"Pegado et al.2018"
"331","Pegado et al.","2018","Atlantic, Southwest","Conodon nobilis ","Haemulidae","Conodon","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.6,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,8,0,0,NA,NA,NA,NA,NA,0,0,NA,"Pegado et al.2018"
"332","Pegado et al.","2018","Atlantic, Southwest","Ctenosciaena gracilicirrhus ","Sciaenidae","Ctenosciaena","Demersal","Tropical","Least Concern","mainly animals","hunting macrofauna",3.9,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,11,0,0,NA,NA,NA,NA,NA,0,0,NA,"Pegado et al.2018"
"333","Pegado et al.","2018","Atlantic, Southwest","Cynoponticus savanna ","Muraenesocidae","Cynoponticus","Demersal","Deep-water","Not Evaluated","mainly animals","hunting macrofauna",3.5,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,0,0,NA,"Pegado et al.2018"
"334","Pegado et al.","2018","Atlantic, Southwest","Cynoscion jamaicensis ","Sciaenidae","Cynoscion","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.8,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,3,0,0,NA,NA,NA,NA,NA,0,0,NA,"Pegado et al.2018"
"335","Pegado et al.","2018","Atlantic, Southwest","Cynoscion leiarchus","Sciaenidae","Cynoscion","Demersal","Tropical","Least Concern","mainly animals","hunting macrofauna",3.1,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,2,1,4,NA,NA,NA,NA,NA,0.5,2,NA,"Pegado et al.2018"
"336","Pegado et al.","2018","Atlantic, Southwest","Cynoscion microlepidotus","Sciaenidae","Cynoscion","Demersal","Tropical","Least Concern","","",4,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,16,2.992,20.8,NA,NA,NA,NA,NA,0.187,1.3,NA,"Pegado et al.2018"
"337","Pegado et al.","2018","Atlantic, Southwest","Cynoscion virescens","Sciaenidae","Cynoscion","Demersal","Tropical","Least Concern","mainly animals","hunting macrofauna",4,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,7,1.001,21,NA,NA,NA,NA,NA,0.143,3,NA,"Pegado et al.2018"
"338","Pegado et al.","2018","Atlantic, Southwest","Epinephelus itajara ","Serranidae","Epinephelus","Reef-associated","Subtropical","Critically Endangered","mainly animals","hunting macrofauna",4.1,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,2,0,0,NA,NA,NA,NA,NA,0,0,NA,"Pegado et al.2018"
"339","Pegado et al.","2018","Atlantic, Southwest","Genyatremus luteus ","Haemulidae","Genyatremus","Demersal","Tropical","Not Evaluated","mainly animals","hunting macrofauna",3.5,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,8,0,0,NA,NA,NA,NA,NA,0,0,NA,"Pegado et al.2018"
"340","Pegado et al.","2018","Atlantic, Southwest","Gymnothorax ocellatus","Muraenidae","Gymnothorax","Reef-associated","Tropical","Least Concern","mainly animals","hunting macrofauna",4.1,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,0,0,NA,"Pegado et al.2018"
"341","Pegado et al.","2018","Atlantic, Southwest","Haemulon plumierii ","Haemulidae","Haemulon","Reef-associated","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.8,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,13,0,0,NA,NA,NA,NA,NA,0,0,NA,"Pegado et al.2018"
"342","Pegado et al.","2018","Atlantic, Southwest","Haemulon steindachneri ","Haemulidae","Haemulon","Reef-associated","Tropical","Least Concern","mainly animals","hunting macrofauna",3.7,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,5,0,0,NA,NA,NA,NA,NA,0,0,NA,"Pegado et al.2018"
"343","Pegado et al.","2018","Atlantic, Southwest","Lutjanus analis","Haemulidae","Lutjanus","Reef-associated","Tropical","Near Threatened","mainly animals","hunting macrofauna",3.9,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,3,0.9999,3,NA,NA,NA,NA,NA,0.3333,1,NA,"Pegado et al.2018"
"344","Pegado et al.","2018","Atlantic, Southwest","Lutjanus synagris","Haemulidae","Lutjanus","Reef-associated","Subtropical","Near Threatened","mainly animals","hunting macrofauna",3.8,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,0.5,1,NA,"Pegado et al.2018"
"345","Pegado et al.","2018","Atlantic, Southwest","Macrodon ancylodon ","Sciaenidae","Macrodon","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.9,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,13,1.001,26,NA,NA,NA,NA,NA,0.077,2,NA,"Pegado et al.2018"
"346","Pegado et al.","2018","Atlantic, Southwest","Menticirrhus americanus ","Sciaenidae","Menticirrhus","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.5,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,0,0,NA,"Pegado et al.2018"
"347","Pegado et al.","2018","Atlantic, Southwest","Micropogonias furnieri ","Sciaenidae","Micropogonias","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.1,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,6,0,0,NA,NA,NA,NA,NA,0,0,NA,"Pegado et al.2018"
"348","Pegado et al.","2018","Atlantic, Southwest","Mustelus canis ","Triakidae","Mustelus","Demersal","Subtropical","Near Threatened","mainly animals","hunting macrofauna",3.6,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,2,0,0,NA,NA,NA,NA,NA,0,0,NA,"Pegado et al.2018"
"349","Pegado et al.","2018","Atlantic, Southwest","Mustelus higmani ","Triakidae","Mustelus","Demersal","Deep-water","Least Concern","mainly animals","hunting macrofauna",3.6,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,3,0,0,NA,NA,NA,NA,NA,0,0,NA,"Pegado et al.2018"
"350","Pegado et al.","2018","Atlantic, Southwest","Narcine brasiliensis","Narcinidae","Rhinoptera","Reef-associated","Subtropical","Data deficient","mainly animals","hunting macrofauna",3.2,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,6,1.002,18,NA,NA,NA,NA,NA,0.167,3,NA,"Pegado et al.2018"
"351","Pegado et al.","2018","Atlantic, Southwest","Notarius grandicassis ","Ariidae","Notarius","Demersal","Tropical","Least Concern","","",4,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,4,0,0,NA,NA,NA,NA,NA,0,0,NA,"Pegado et al.2018"
"352","Pegado et al.","2018","Atlantic, Southwest","Ophichthus cylindroideus ","Ophichthidae","Ophichthus","Demersal","Tropical","Least Concern","","",4,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,0,0,NA,"Pegado et al.2018"
"353","Pegado et al.","2018","Atlantic, Southwest","Ophichthus ophis ","Ophichthidae","Ophichthus","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",4.5,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,0,0,NA,"Pegado et al.2018"
"354","Pegado et al.","2018","Atlantic, Southwest","Orthopristis ruber ","Haemulidae","Orthopristis","Demersal","Tropical","Least Concern","mainly animals","hunting macrofauna",3.6,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,2,0,0,NA,NA,NA,NA,NA,0,0,NA,"Pegado et al.2018"
"355","Pegado et al.","2018","Atlantic, Southwest","Paralonchurus brasiliensis ","Sciaenidae","Paralonchurus","Demersal","Subtropical","Not Evaluated","","",3.4,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,6,0,0,NA,NA,NA,NA,NA,0,0,NA,"Pegado et al.2018"
"356","Pegado et al.","2018","Atlantic, Southwest","Peprilus paru","Stromateidae","Peprilus","Benthopelagic","Subtropical","Least Concern","mainly animals","hunting macrofauna",4.5,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,2,0,0,NA,NA,NA,NA,NA,0,0,NA,"Pegado et al.2018"
"357","Pegado et al.","2018","Atlantic, Southwest","Polydactylus oligodon","Polynemidae","Polydactylus","Demersal","Tropical","Least Concern","mainly animals","hunting macrofauna",3.7,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,1,3,NA,"Pegado et al.2018"
"358","Pegado et al.","2018","Atlantic, Southwest","Polydactylus virginicus ","Polynemidae","Polydactylus","Demersal","Tropical","Least Concern","mainly animals","hunting macrofauna",3.7,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,13,0,0,NA,NA,NA,NA,NA,0,0,NA,"Pegado et al.2018"
"359","Pegado et al.","2018","Atlantic, Southwest","Pomatomus saltatrix ","Pomatomidae","Pomatomus","Pelagic-oceanic","Subtropical","Vulnerable","mainly animals","hunting macrofauna",4.5,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,2,0,0,NA,NA,NA,NA,NA,0,0,NA,"Pegado et al.2018"
"360","Pegado et al.","2018","Atlantic, Southwest","Rachycentron canadum","Rachycentridae","Rachycentron","Reef-associated","Subtropical","Least Concern","mainly animals","hunting macrofauna",4,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,0,0,NA,"Pegado et al.2018"
"361","Pegado et al.","2018","Atlantic, Southwest","Rhinoptera bonasus ","Myliobatidae","Rhinoptera","Benthopelagic","Tropical","Near Threatened","mainly animals","hunting macrofauna",3.2,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,0,0,NA,"Pegado et al.2018"
"362","Pegado et al.","2018","Atlantic, Southwest","Scomberomorus brasiliensis ","Scombridae","Scomberomorus","Reef-associated","Tropical","Least Concern","mainly animals","hunting macrofauna",3.3,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,0,0,NA,"Pegado et al.2018"
"363","Pegado et al.","2018","Atlantic, Southwest","Selene setapinnis ","Carangidae","Selene","Benthopelagic","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.7,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,0,0,NA,"Pegado et al.2018"
"364","Pegado et al.","2018","Atlantic, Southwest","Selene vomer ","Carangidae","Selene","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",4.3,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,2,1,4,NA,NA,NA,NA,NA,0.5,2,NA,"Pegado et al.2018"
"365","Pegado et al.","2018","Atlantic, Southwest","Sphyrna tiburo","Sphyrnidae","Sphyrna","Reef-associated","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.9,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,2,2,18,NA,NA,NA,NA,NA,1,9,NA,"Pegado et al.2018"
"366","Pegado et al.","2018","Atlantic, Southwest","Trichiurus lepturus","Trichiuridae","Trichiurus","Benthopelagic","Subtropical","Least Concern","mainly animals","hunting macrofauna",4.4,500,"None","None","Visual","FTIR","yes","no","no","no","Polyamide","Yellow","no",NA,NA,NA,NA,5,1,10,NA,NA,NA,NA,NA,0.2,2,NA,"Pegado et al.2018"
"367","Pellini et al.","2018","Mediterranean and Black Sea","Solea solea","Soleidae","Solea","Demersal","Subtropical","Data deficient","mainly animals","hunting macrofauna",3.2,500,"None","KOH","Visual","FTIR","yes","yes","no","yes","Polyethylene","","no",NA,NA,NA,NA,533,506.35,912.19,32.15,NA,NA,NA,NA,0.95,1.71142589118199,0.0603189493433396,"Pellini et al.2018"
"368","Peters et al.","2017","Atlantic, Western Central","Chaetodipterus faber ","Ephippidae","Chaetodipterus","Reef-associated","Subtropical","Least Concern","mainly animals","hunting macrofauna",4.5,500,"None","None","Visual","None","no","yes","yes","","","Purple/Blue","no",NA,1349.3,10238.2,298.7,103,47.998,142.14,NA,NA,13.1,99.4,2.9,0.466,1.38,NA,"Peters et al.2017"
"369","Peters et al.","2017","Atlantic, Western Central","Cynoscion arenarius ","Sciaenidae","Cynoscion","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",4.2,500,"None","None","Visual","None","no","yes","yes","","","Purple/Blue","no",NA,2849.5,14622.8,264.1,139,60.048,109.81,NA,NA,20.5,105.2,1.9,0.432,0.79,NA,"Peters et al.2017"
